SessionKey,PageID,DateID,EventTimestamp,TimeOnPage_seconds,ItemsInCart,Purchased
24,1,6846,2025-05-12 17:24:26,146,0,1
24,2,6847,2025-05-12 17:27:00,154,4,1
24,3,6848,2025-05-12 17:27:29,29,4,1
24,4,6849,2025-05-12 17:30:24,175,4,1
24,5,6850,2025-05-12 17:31:04,40,0,1
25,1,9778,2025-07-07 18:47:26,24,0,1
25,2,9779,2025-07-07 18:49:14,108,1,1
25,3,9780,2025-07-07 18:51:16,122,1,1
25,4,9781,2025-07-07 18:52:36,80,1,1
25,5,9782,2025-07-07 18:54:48,132,0,1
26,1,2350,2025-02-12 23:06:34,69,0,0
26,2,2351,2025-02-12 23:08:57,143,0,0
27,1,6918,2025-05-14 08:16:26,73,0,0
27,2,6919,2025-05-14 08:16:41,15,0,0
28,1,10047,2025-07-12 19:48:40,61,0,0
28,2,10048,2025-07-12 19:49:37,57,1,0
29,1,12354,2025-08-24 03:45:43,145,0,1
29,2,12355,2025-08-24 03:46:57,74,0,1
29,3,12356,2025-08-24 03:49:42,165,3,1
29,4,12357,2025-08-24 03:52:17,155,3,1
29,5,12358,2025-08-24 03:53:32,75,0,1
30,1,6125,2025-04-29 01:28:02,52,0,0
30,2,6126,2025-04-29 01:29:58,116,5,0
30,3,6127,2025-04-29 01:31:17,79,5,0
31,1,4028,2025-03-18 00:25:48,128,0,0
31,2,4029,2025-03-18 00:26:54,66,4,0
32,1,1258,2025-01-23 17:20:14,67,0,1
32,2,1259,2025-01-23 17:20:38,24,0,1
32,3,1260,2025-01-23 17:21:14,36,0,1
32,4,1261,2025-01-23 17:21:50,36,1,1
32,5,1262,2025-01-23 17:23:27,97,0,1
33,1,2817,2025-02-22 18:50:18,22,0,0
33,2,2818,2025-02-22 18:51:30,72,0,0
34,1,6210,2025-04-30 22:36:42,121,0,1
34,2,6211,2025-04-30 22:39:28,166,3,1
34,3,6212,2025-04-30 22:41:07,99,3,1
34,4,6213,2025-04-30 22:43:51,164,3,1
34,5,6214,2025-04-30 22:45:24,93,0,1
35,1,10681,2025-07-24 11:14:46,140,0,1
35,2,10682,2025-07-24 11:15:48,62,5,1
35,3,10683,2025-07-24 11:18:13,145,5,1
35,4,10684,2025-07-24 11:19:32,79,5,1
35,5,10685,2025-07-24 11:21:20,108,0,1
36,1,7983,2025-06-03 23:29:35,168,0,0
36,2,7985,2025-06-03 23:31:40,125,0,0
37,1,538,2025-01-10 20:14:17,90,0,0
37,2,539,2025-01-10 20:15:15,58,3,0
38,1,5769,2025-04-20 23:26:41,15,0,0
38,2,5770,2025-04-20 23:29:34,173,0,0
39,1,11811,2025-08-14 07:16:44,65,0,1
39,2,11812,2025-08-14 07:18:51,127,3,1
39,3,11813,2025-08-14 07:19:43,52,3,1
39,4,11814,2025-08-14 07:20:26,43,3,1
39,5,11815,2025-08-14 07:22:38,132,0,1
40,1,11420,2025-08-06 12:57:39,135,0,1
40,2,11421,2025-08-06 12:58:19,40,0,1
40,3,11422,2025-08-06 13:00:54,155,0,1
40,4,11423,2025-08-06 13:02:13,79,1,1
40,5,11424,2025-08-06 13:05:07,174,0,1
41,1,5449,2025-04-13 11:48:04,98,0,1
41,2,5450,2025-04-13 11:49:47,103,0,1
41,3,5451,2025-04-13 11:51:19,92,0,1
41,4,5452,2025-04-13 11:51:59,40,1,1
41,5,5453,2025-04-13 11:54:33,154,0,1
42,1,1541,2025-01-28 20:52:53,151,0,0
42,2,1542,2025-01-28 20:54:18,85,0,0
43,1,36,2025-01-01 12:08:37,90,0,0
43,2,37,2025-01-01 12:11:26,169,2,0
44,1,2520,2025-02-17 00:12:00,21,0,0
44,2,2521,2025-02-17 00:12:53,53,0,0
45,1,9757,2025-07-07 08:26:59,62,0,0
45,2,9758,2025-07-07 08:29:47,168,0,0
46,1,4884,2025-04-03 11:06:09,128,0,1
46,2,4885,2025-04-03 11:06:39,30,0,1
46,3,4886,2025-04-03 11:09:30,171,4,1
46,4,4887,2025-04-03 11:11:05,95,4,1
46,5,4888,2025-04-03 11:12:46,101,0,1
47,1,3453,2025-03-06 23:22:43,180,0,0
47,2,3454,2025-03-06 23:24:30,107,2,0
47,3,3455,2025-03-06 23:25:03,33,2,0
48,1,10566,2025-07-22 13:46:16,15,0,0
48,2,10567,2025-07-22 13:46:55,39,4,0
49,1,5697,2025-04-19 16:51:08,70,0,1
49,2,5698,2025-04-19 16:53:59,171,4,1
49,3,5699,2025-04-19 16:55:33,94,4,1
49,4,5700,2025-04-19 16:56:53,80,4,1
49,5,5701,2025-04-19 16:59:08,135,0,1
50,1,6514,2025-05-06 23:36:39,43,0,0
50,2,6515,2025-05-06 23:38:45,126,0,0
50,3,6516,2025-05-06 23:39:40,55,2,0
51,1,3162,2025-03-01 04:50:01,48,0,0
52,1,12274,2025-08-22 06:25:08,127,0,0
53,1,10934,2025-07-29 02:14:11,173,0,0
53,2,10935,2025-07-29 02:14:58,47,4,0
54,1,11947,2025-08-16 12:12:29,79,0,1
54,2,11948,2025-08-16 12:15:08,159,0,1
54,3,11949,2025-08-16 12:17:43,155,0,1
54,4,11950,2025-08-16 12:18:52,69,2,1
54,5,11951,2025-08-16 12:21:41,169,0,1
55,1,7751,2025-05-30 02:48:38,94,0,0
55,2,7752,2025-05-30 02:49:49,71,0,0
56,1,1380,2025-01-25 23:31:55,105,0,0
56,2,1381,2025-01-25 23:34:21,146,3,0
57,1,5232,2025-04-09 16:49:27,83,0,0
57,2,5233,2025-04-09 16:50:03,36,0,0
58,1,7130,2025-05-18 08:57:16,117,0,1
58,2,7131,2025-05-18 08:58:25,69,0,1
58,3,7132,2025-05-18 08:58:53,28,0,1
58,4,7133,2025-05-18 09:00:35,102,2,1
58,5,7134,2025-05-18 09:02:19,104,0,1
59,1,3149,2025-02-28 20:54:48,66,0,0
59,2,3151,2025-02-28 20:57:01,133,2,0
60,1,5612,2025-04-17 04:11:10,128,0,0
60,2,5613,2025-04-17 04:12:00,50,2,0
61,1,7104,2025-05-17 11:05:23,26,0,1
61,2,7107,2025-05-17 11:06:41,78,0,1
61,3,7108,2025-05-17 11:07:37,56,0,1
61,4,7109,2025-05-17 11:07:54,17,1,1
61,5,7111,2025-05-17 11:10:47,173,0,1
62,1,7292,2025-05-21 08:01:00,56,0,0
62,2,7293,2025-05-21 08:03:51,171,0,0
62,3,7294,2025-05-21 08:06:45,174,0,0
62,4,7295,2025-05-21 08:07:02,17,2,0
63,1,6575,2025-05-08 04:39:31,85,0,0
63,2,6576,2025-05-08 04:41:57,146,2,0
63,3,6577,2025-05-08 04:43:38,101,2,0
64,1,5335,2025-04-11 17:57:23,113,0,1
64,2,5336,2025-04-11 17:57:56,33,0,1
64,3,5337,2025-04-11 17:59:33,97,0,1
64,4,5338,2025-04-11 18:00:51,78,3,1
64,5,5339,2025-04-11 18:02:52,121,0,1
65,1,14,2025-01-01 05:00:01,55,0,0
65,2,15,2025-01-01 05:02:10,129,1,0
66,1,6607,2025-05-08 20:30:16,155,0,0
66,2,6608,2025-05-08 20:31:05,49,1,0
67,1,9917,2025-07-10 11:59:40,105,0,0
67,2,9918,2025-07-10 12:02:11,151,0,0
68,1,182,2025-01-04 09:16:20,48,0,0
68,2,183,2025-01-04 09:18:53,153,3,0
69,1,3995,2025-03-17 12:12:56,173,0,0
69,2,3996,2025-03-17 12:15:29,153,0,0
70,1,1427,2025-01-26 20:08:51,139,0,0
70,2,1428,2025-01-26 20:09:57,66,1,0
71,1,2247,2025-02-11 03:56:07,137,0,0
71,2,2249,2025-02-11 03:58:28,141,0,0
72,1,7631,2025-05-27 16:29:20,21,0,1
72,2,7632,2025-05-27 16:31:57,157,3,1
72,3,7633,2025-05-27 16:32:34,37,3,1
72,4,7634,2025-05-27 16:33:20,46,3,1
72,5,7635,2025-05-27 16:34:41,81,0,1
73,1,274,2025-01-06 04:50:38,89,0,1
73,2,275,2025-01-06 04:52:20,102,3,1
73,3,276,2025-01-06 04:53:33,73,3,1
73,4,277,2025-01-06 04:54:06,33,3,1
73,5,278,2025-01-06 04:54:41,35,0,1
74,1,9643,2025-07-04 20:08:16,178,0,0
74,2,9644,2025-07-04 20:09:47,91,2,0
75,1,11767,2025-08-13 14:48:20,84,0,0
75,2,11768,2025-08-13 14:48:49,29,2,0
76,1,4361,2025-03-24 07:15:53,43,0,0
77,1,1537,2025-01-28 20:20:57,169,0,0
77,2,1538,2025-01-28 20:22:57,120,0,0
78,1,1896,2025-02-04 21:52:32,79,0,0
79,1,12387,2025-08-24 18:18:04,34,0,0
79,2,12388,2025-08-24 18:18:40,36,2,0
80,1,10617,2025-07-23 03:18:17,91,0,0
80,2,10618,2025-07-23 03:19:43,86,1,0
81,1,80,2025-01-02 05:30:07,15,0,0
81,2,81,2025-01-02 05:30:37,30,0,0
82,1,6197,2025-04-30 14:49:17,156,0,0
82,2,6198,2025-04-30 14:50:49,92,0,0
82,3,6199,2025-04-30 14:53:02,133,1,0
83,1,3083,2025-02-27 03:03:27,58,0,0
83,2,3086,2025-02-27 03:05:56,149,4,0
84,1,10636,2025-07-23 17:27:43,139,0,0
84,2,10638,2025-07-23 17:29:21,98,0,0
85,1,321,2025-01-07 04:40:36,43,0,1
85,2,322,2025-01-07 04:42:23,107,0,1
85,3,323,2025-01-07 04:43:23,60,5,1
85,4,324,2025-01-07 04:45:21,118,5,1
85,5,325,2025-01-07 04:47:24,123,0,1
86,1,10822,2025-07-26 17:28:22,124,0,1
86,2,10823,2025-07-26 17:30:52,150,0,1
86,3,10824,2025-07-26 17:32:00,68,0,1
86,4,10825,2025-07-26 17:33:47,107,3,1
86,5,10826,2025-07-26 17:34:05,18,0,1
87,1,2357,2025-02-13 01:15:13,57,0,0
87,2,2358,2025-02-13 01:18:13,180,4,0
88,1,1981,2025-02-06 13:39:51,30,0,0
88,2,1982,2025-02-06 13:42:16,145,0,0
89,1,12547,2025-08-27 15:06:44,75,0,0
90,1,10037,2025-07-12 15:30:28,20,0,0
91,1,10111,2025-07-14 03:19:39,162,0,0
91,2,10112,2025-07-14 03:19:55,16,0,0
92,1,2779,2025-02-21 13:57:38,47,0,0
92,2,2780,2025-02-21 13:58:28,50,5,0
93,1,7779,2025-05-31 00:16:02,130,0,0
93,2,7780,2025-05-31 00:17:10,68,0,0
93,3,7781,2025-05-31 00:18:30,80,5,0
94,1,5775,2025-04-21 03:29:55,67,0,0
95,1,4743,2025-03-31 03:00:13,138,0,0
96,1,5167,2025-04-07 18:13:46,121,0,0
96,2,5168,2025-04-07 18:15:42,116,0,0
97,1,7789,2025-05-31 04:01:09,51,0,0
98,1,557,2025-01-11 04:27:52,171,0,0
98,2,558,2025-01-11 04:29:54,122,2,0
98,3,559,2025-01-11 04:31:56,122,2,0
99,1,5505,2025-04-14 15:24:24,35,0,0
100,1,6191,2025-04-30 11:18:19,19,0,0
100,2,6192,2025-04-30 11:19:17,58,1,0
101,1,5950,2025-04-25 07:22:41,78,0,1
101,2,5951,2025-04-25 07:25:22,161,5,1
101,3,5952,2025-04-25 07:27:39,137,5,1
101,4,5953,2025-04-25 07:29:19,100,5,1
101,5,5954,2025-04-25 07:31:08,109,0,1
102,1,1810,2025-02-03 08:57:13,98,0,0
103,1,11005,2025-07-30 14:11:29,149,0,1
103,2,11006,2025-07-30 14:12:01,32,0,1
103,3,11007,2025-07-30 14:14:53,172,2,1
103,4,11008,2025-07-30 14:17:14,141,2,1
103,5,11009,2025-07-30 14:17:56,42,0,1
104,1,1998,2025-02-07 02:36:06,148,0,0
104,2,1999,2025-02-07 02:37:04,58,3,0
105,1,7470,2025-05-24 22:17:17,158,0,0
105,2,7471,2025-05-24 22:18:18,61,4,0
106,1,12449,2025-08-26 00:54:50,143,0,0
106,2,12450,2025-08-26 00:57:46,176,2,0
107,1,6718,2025-05-10 11:35:13,100,0,0
107,2,6719,2025-05-10 11:37:41,148,4,0
108,1,7591,2025-05-26 22:54:50,118,0,0
109,1,3534,2025-03-08 08:19:55,17,0,0
109,2,3535,2025-03-08 08:20:59,64,0,0
110,1,2485,2025-02-16 11:03:21,102,0,0
110,2,2486,2025-02-16 11:05:24,123,1,0
111,1,7446,2025-05-24 10:50:25,117,0,0
112,1,8232,2025-06-08 04:07:21,43,0,0
112,2,8233,2025-06-08 04:08:20,59,0,0
113,1,11347,2025-08-04 21:20:58,126,0,0
114,1,8407,2025-06-11 20:27:05,54,0,0
114,2,8408,2025-06-11 20:28:26,81,4,0
114,3,8409,2025-06-11 20:30:19,113,4,0
115,1,1625,2025-01-30 08:29:05,35,0,1
115,2,1626,2025-01-30 08:30:09,64,3,1
115,3,1627,2025-01-30 08:31:03,54,3,1
115,4,1628,2025-01-30 08:33:25,142,3,1
115,5,1629,2025-01-30 08:34:15,50,0,1
116,1,10964,2025-07-29 13:25:47,15,0,1
116,2,10965,2025-07-29 13:28:31,164,5,1
116,3,10966,2025-07-29 13:31:03,152,5,1
116,4,10967,2025-07-29 13:32:43,100,5,1
116,5,10968,2025-07-29 13:33:32,49,0,1
117,1,11780,2025-08-13 21:20:28,167,0,0
118,1,8056,2025-06-04 20:23:48,95,0,0
119,1,4497,2025-03-26 15:15:04,89,0,0
120,1,6843,2025-05-12 16:50:58,96,0,0
120,2,6844,2025-05-12 16:51:48,50,0,0
121,1,2323,2025-02-12 07:45:46,15,0,0
121,2,2324,2025-02-12 07:46:10,24,1,0
122,1,12319,2025-08-23 07:47:50,110,0,0
122,2,12320,2025-08-23 07:49:15,85,0,0
123,1,10578,2025-07-22 15:28:06,123,0,0
123,2,10579,2025-07-22 15:30:20,134,2,0
124,1,7073,2025-05-17 04:56:50,43,0,1
124,2,7074,2025-05-17 04:57:51,61,1,1
124,3,7075,2025-05-17 04:59:24,93,1,1
124,4,7076,2025-05-17 05:00:54,90,1,1
124,5,7077,2025-05-17 05:01:48,54,0,1
125,1,11089,2025-07-31 16:07:04,18,0,0
125,2,11090,2025-07-31 16:09:51,167,0,0
126,1,12527,2025-08-27 10:04:00,45,0,0
126,2,12528,2025-08-27 10:05:11,71,0,0
127,1,944,2025-01-17 20:28:51,70,0,1
127,2,945,2025-01-17 20:30:33,102,1,1
127,3,946,2025-01-17 20:30:49,16,1,1
127,4,947,2025-01-17 20:32:25,96,1,1
127,5,948,2025-01-17 20:32:58,33,0,1
128,1,4995,2025-04-05 07:22:15,116,0,1
128,2,4996,2025-04-05 07:24:34,139,2,1
128,3,4997,2025-04-05 07:25:59,85,2,1
128,4,4998,2025-04-05 07:28:13,134,2,1
128,5,4999,2025-04-05 07:29:35,82,0,1
129,1,12095,2025-08-19 03:29:33,168,0,1
129,2,12096,2025-08-19 03:31:08,95,0,1
129,3,12097,2025-08-19 03:32:42,94,2,1
129,4,12098,2025-08-19 03:35:17,155,2,1
129,5,12099,2025-08-19 03:36:04,47,0,1
130,1,9809,2025-07-08 12:44:08,132,0,0
131,1,9120,2025-06-24 13:11:38,176,0,0
131,2,9121,2025-06-24 13:14:22,164,2,0
132,1,11622,2025-08-10 10:08:13,57,0,1
132,2,11623,2025-08-10 10:10:45,152,0,1
132,3,11624,2025-08-10 10:13:36,171,0,1
132,4,11625,2025-08-10 10:15:38,122,3,1
132,5,11626,2025-08-10 10:18:07,149,0,1
133,1,10547,2025-07-22 08:03:08,82,0,1
133,2,10548,2025-07-22 08:04:27,79,3,1
133,3,10549,2025-07-22 08:05:03,36,3,1
133,4,10550,2025-07-22 08:06:11,68,3,1
133,5,10551,2025-07-22 08:08:16,125,0,1
134,1,6939,2025-05-14 17:11:31,130,0,1
134,2,6940,2025-05-14 17:11:59,28,0,1
134,3,6943,2025-05-14 17:13:14,75,0,1
134,4,6946,2025-05-14 17:16:05,171,2,1
134,5,6948,2025-05-14 17:18:46,161,0,1
135,1,6046,2025-04-27 09:22:43,171,0,1
135,2,6047,2025-04-27 09:24:32,109,0,1
135,3,6048,2025-04-27 09:26:05,93,0,1
135,4,6049,2025-04-27 09:28:43,158,2,1
135,5,6050,2025-04-27 09:30:43,120,0,1
136,1,3908,2025-03-16 05:41:47,78,0,0
136,2,3909,2025-03-16 05:44:13,146,5,0
136,3,3910,2025-03-16 05:45:26,73,5,0
136,4,3911,2025-03-16 05:46:50,84,5,0
137,1,8985,2025-06-22 06:14:23,129,0,0
137,2,8986,2025-06-22 06:15:35,72,3,0
138,1,11674,2025-08-11 13:34:39,74,0,0
138,2,11675,2025-08-11 13:36:39,120,0,0
139,1,144,2025-01-03 17:49:27,126,0,0
139,2,145,2025-01-03 17:51:46,139,0,0
139,3,146,2025-01-03 17:52:35,49,0,0
140,1,1781,2025-02-02 19:04:01,82,0,0
140,2,1782,2025-02-02 19:06:20,139,0,0
141,1,7968,2025-06-03 17:05:22,40,0,0
141,2,7969,2025-06-03 17:06:18,56,5,0
142,1,4468,2025-03-26 01:55:11,38,0,0
142,2,4469,2025-03-26 01:56:48,97,1,0
143,1,7329,2025-05-21 19:51:45,76,0,1
143,2,7330,2025-05-21 19:54:40,175,0,1
143,3,7331,2025-05-21 19:55:18,38,2,1
143,4,7332,2025-05-21 19:58:08,170,2,1
143,5,7333,2025-05-21 20:01:07,179,0,1
144,1,5866,2025-04-23 12:45:30,81,0,0
145,1,9185,2025-06-25 23:52:10,104,0,0
146,1,8934,2025-06-20 23:56:18,96,0,1
146,2,8935,2025-06-20 23:56:43,25,0,1
146,3,8936,2025-06-20 23:59:18,155,0,1
146,4,8937,2025-06-21 00:00:26,68,2,1
146,5,8938,2025-06-21 00:01:57,91,0,1
147,1,11243,2025-08-03 12:11:21,113,0,0
147,2,11244,2025-08-03 12:13:31,130,5,0
147,3,11245,2025-08-03 12:15:26,115,5,0
148,1,1289,2025-01-24 01:46:09,21,0,0
148,2,1290,2025-01-24 01:48:10,121,4,0
149,1,1567,2025-01-29 11:20:30,150,0,1
149,2,1568,2025-01-29 11:21:45,75,1,1
149,3,1569,2025-01-29 11:24:32,167,1,1
149,4,1570,2025-01-29 11:27:00,148,1,1
149,5,1571,2025-01-29 11:28:16,76,0,1
150,1,479,2025-01-10 03:41:06,108,0,0
150,2,480,2025-01-10 03:42:18,72,0,0
151,1,4224,2025-03-21 10:24:51,139,0,1
151,2,4225,2025-03-21 10:26:51,120,5,1
151,3,4226,2025-03-21 10:27:55,64,5,1
151,4,4227,2025-03-21 10:30:34,159,5,1
151,5,4228,2025-03-21 10:33:11,157,0,1
152,1,5157,2025-04-07 14:31:07,89,0,0
152,2,5158,2025-04-07 14:32:30,83,0,0
153,1,5439,2025-04-13 08:55:03,45,0,1
153,2,5440,2025-04-13 08:55:52,49,3,1
153,3,5441,2025-04-13 08:58:35,163,3,1
153,4,5442,2025-04-13 09:00:43,128,3,1
153,5,5443,2025-04-13 09:01:03,20,0,1
154,1,9716,2025-07-06 19:09:22,101,0,0
154,2,9717,2025-07-06 19:11:28,126,3,0
155,1,11537,2025-08-09 09:34:17,123,0,0
155,2,11538,2025-08-09 09:35:02,45,3,0
156,1,11050,2025-07-31 07:30:50,127,0,1
156,2,11051,2025-07-31 07:32:24,94,0,1
156,3,11052,2025-07-31 07:33:10,46,5,1
156,4,11053,2025-07-31 07:34:44,94,5,1
156,5,11054,2025-07-31 07:35:43,59,0,1
157,1,1177,2025-01-22 05:38:41,126,0,0
157,2,1178,2025-01-22 05:40:48,127,0,0
158,1,11745,2025-08-13 07:46:18,94,0,0
158,2,11746,2025-08-13 07:47:54,96,0,0
158,3,11747,2025-08-13 07:50:39,165,5,0
159,1,3502,2025-03-07 16:44:46,79,0,0
159,2,3503,2025-03-07 16:45:08,22,0,0
160,1,9747,2025-07-07 04:09:36,88,0,0
161,1,4687,2025-03-30 00:02:15,145,0,1
161,2,4688,2025-03-30 00:04:23,128,0,1
161,3,4689,2025-03-30 00:07:05,162,0,1
161,4,4690,2025-03-30 00:09:35,150,1,1
161,5,4691,2025-03-30 00:10:05,30,0,1
162,1,4157,2025-03-20 03:47:31,71,0,0
162,2,4158,2025-03-20 03:48:19,48,0,0
163,1,9968,2025-07-11 05:51:34,143,0,0
163,2,9969,2025-07-11 05:54:10,156,0,0
163,3,9970,2025-07-11 05:54:46,36,0,0
163,4,9971,2025-07-11 05:56:00,74,3,0
164,1,1274,2025-01-23 21:38:36,110,0,0
164,2,1275,2025-01-23 21:39:10,34,0,0
165,1,8797,2025-06-18 17:36:06,93,0,0
165,2,8798,2025-06-18 17:36:41,35,4,0
165,3,8799,2025-06-18 17:38:55,134,4,0
165,4,8800,2025-06-18 17:40:55,120,4,0
166,1,8484,2025-06-13 17:18:34,145,0,1
166,2,8485,2025-06-13 17:19:01,27,5,1
166,3,8486,2025-06-13 17:19:38,37,5,1
166,4,8487,2025-06-13 17:21:46,128,5,1
166,5,8488,2025-06-13 17:22:26,40,0,1
167,1,4169,2025-03-20 11:49:36,47,0,1
167,2,4170,2025-03-20 11:51:25,109,1,1
167,3,4171,2025-03-20 11:54:18,173,1,1
167,4,4172,2025-03-20 11:55:18,60,1,1
167,5,4173,2025-03-20 11:56:47,89,0,1
168,1,9292,2025-06-28 03:46:20,95,0,0
168,2,9293,2025-06-28 03:46:53,33,0,0
169,1,10014,2025-07-12 02:59:48,148,0,0
169,2,10015,2025-07-12 03:01:03,75,3,0
169,3,10016,2025-07-12 03:02:44,101,3,0
170,1,5639,2025-04-17 22:20:10,80,0,0
170,2,5640,2025-04-17 22:21:16,66,4,0
171,1,9067,2025-06-23 19:45:50,132,0,0
172,1,6245,2025-05-01 14:01:47,165,0,1
172,2,6246,2025-05-01 14:03:28,101,5,1
172,3,6247,2025-05-01 14:04:02,34,5,1
172,4,6248,2025-05-01 14:05:35,93,5,1
172,5,6249,2025-05-01 14:07:28,113,0,1
173,1,3129,2025-02-28 04:57:04,143,0,0
173,2,3130,2025-02-28 04:58:01,57,0,0
174,1,1562,2025-01-29 06:47:08,16,0,0
174,2,1563,2025-01-29 06:47:42,34,0,0
175,1,7421,2025-05-24 03:08:44,160,0,0
175,2,7422,2025-05-24 03:11:11,147,0,0
176,1,2281,2025-02-11 15:47:51,130,0,1
176,2,2282,2025-02-11 15:50:01,130,0,1
176,3,2283,2025-02-11 15:52:32,151,1,1
176,4,2284,2025-02-11 15:55:21,169,1,1
176,5,2286,2025-02-11 15:56:53,92,0,1
177,1,3713,2025-03-12 06:36:53,132,0,0
178,1,5284,2025-04-10 23:31:18,72,0,0
178,2,5285,2025-04-10 23:32:57,99,0,0
179,1,3046,2025-02-26 14:06:58,74,0,0
179,2,3047,2025-02-26 14:08:51,113,5,0
180,1,11173,2025-08-01 18:42:36,50,0,0
180,2,11174,2025-08-01 18:44:26,110,1,0
181,1,11533,2025-08-09 08:34:48,162,0,0
181,2,11534,2025-08-09 08:35:32,44,0,0
182,1,1336,2025-01-25 00:26:25,140,0,0
182,2,1339,2025-01-25 00:28:55,150,3,0
183,1,3403,2025-03-05 21:14:14,78,0,1
183,2,3404,2025-03-05 21:15:13,59,3,1
183,3,3405,2025-03-05 21:17:07,114,3,1
183,4,3406,2025-03-05 21:19:29,142,3,1
183,5,3407,2025-03-05 21:20:02,33,0,1
184,1,8516,2025-06-14 00:45:10,85,0,0
184,2,8517,2025-06-14 00:45:30,20,0,0
185,1,8234,2025-06-08 04:40:38,67,0,0
186,1,3167,2025-03-01 09:09:45,89,0,0
186,2,3168,2025-03-01 09:12:42,177,4,0
186,3,3169,2025-03-01 09:15:38,176,4,0
187,1,10633,2025-07-23 17:04:06,94,0,0
187,2,10635,2025-07-23 17:06:57,171,5,0
188,1,9628,2025-07-04 05:26:31,113,0,0
188,2,9629,2025-07-04 05:27:38,67,4,0
188,3,9630,2025-07-04 05:28:35,57,4,0
189,1,3629,2025-03-10 06:57:41,64,0,0
189,2,3630,2025-03-10 06:59:45,124,0,0
190,1,10403,2025-07-19 18:16:54,155,0,0
190,2,10404,2025-07-19 18:17:25,31,2,0
190,3,10405,2025-07-19 18:19:33,128,2,0
190,4,10406,2025-07-19 18:22:05,152,2,0
191,1,10979,2025-07-30 01:35:29,32,0,1
191,2,10980,2025-07-30 01:37:51,142,0,1
191,3,10981,2025-07-30 01:38:13,22,0,1
191,4,10982,2025-07-30 01:40:22,129,1,1
191,5,10983,2025-07-30 01:41:34,72,0,1
192,1,6427,2025-05-04 20:49:01,139,0,0
192,2,6428,2025-05-04 20:51:51,170,0,0
193,1,9937,2025-07-10 15:06:49,172,0,0
194,1,2922,2025-02-24 04:35:50,177,0,0
194,2,2923,2025-02-24 04:37:14,84,0,0
