SessionID,UserID,DeviceType,Country,ReferralSource,SessionKey
session_1057,user_2951,Mobile,UK,Direct,67
session_1058,user_1272,Tablet,UK,Social Media,68
session_1059,user_1381,Mobile,Canada,Google,69
session_106,user_1524,Desktop,UK,Google,70
session_1060,user_1617,Tablet,USA,Direct,71
session_1061,user_1328,Mobile,USA,Social Media,72
session_1062,user_2713,Mobile,France,Google,73
session_1063,user_1114,Mobile,Germany,Social Media,74
session_1064,user_2115,Desktop,USA,Email,75
session_1065,user_2718,Tablet,France,Google,76
session_1066,user_2347,Tablet,Australia,Google,77
session_1067,user_1459,Mobile,Australia,Google,78
session_1068,user_2032,Tablet,Germany,Direct,79
session_1069,user_2948,Tablet,Germany,Direct,80
session_107,user_2173,Mobile,UK,Email,81
session_1070,user_1569,Tablet,India,Social Media,82
session_1071,user_2602,Desktop,Germany,Social Media,83
session_1072,user_1364,Mobile,USA,Google,84
session_1073,user_2463,Mobile,UK,Google,85
session_1074,user_2249,Desktop,France,Direct,86
session_1075,user_1013,Desktop,Australia,Google,87
session_1076,user_2114,Desktop,UK,Google,88
session_1077,user_2086,Desktop,Australia,Google,89
session_1078,user_2831,Desktop,Germany,Email,90
session_1079,user_1802,Mobile,UK,Direct,91
session_108,user_2167,Mobile,Canada,Email,92
session_1080,user_2805,Tablet,Germany,Social Media,93
session_1081,user_2776,Tablet,UK,Google,94
session_1082,user_1058,Mobile,Germany,Google,95
session_1083,user_1410,Tablet,USA,Direct,96
session_1084,user_2396,Desktop,Australia,Email,97
session_1085,user_1894,Mobile,UK,Direct,98
session_1086,user_1227,Mobile,India,Social Media,99
session_1087,user_2824,Mobile,France,Email,100
session_1088,user_1902,Desktop,UK,Google,101
session_1089,user_1004,Tablet,Germany,Google,102
session_109,user_1774,Mobile,Canada,Google,103
session_1090,user_2322,Mobile,Australia,Google,104
session_1091,user_2296,Desktop,Canada,Email,105
session_1092,user_1786,Desktop,Germany,Email,106
session_1093,user_1006,Desktop,USA,Direct,107
session_1094,user_2289,Mobile,Germany,Google,108
session_1095,user_1541,Tablet,USA,Direct,109
session_1096,user_2861,Tablet,France,Email,110
session_1097,user_1261,Mobile,India,Direct,111
session_1098,user_1905,Tablet,USA,Google,112
session_1099,user_1113,Desktop,Australia,Direct,113
session_11,user_2760,Tablet,USA,Direct,114
session_110,user_2713,Tablet,Canada,Direct,115
session_1100,user_2939,Mobile,Germany,Social Media,116
session_1101,user_1514,Tablet,Canada,Google,117
session_1102,user_2941,Tablet,France,Email,118
session_1103,user_1864,Desktop,India,Social Media,119
session_1104,user_2189,Desktop,India,Google,120
session_1105,user_1594,Mobile,UK,Google,121
session_1106,user_2314,Desktop,India,Google,122
session_1107,user_1643,Desktop,France,Direct,123
session_1108,user_2048,Mobile,France,Direct,124
session_1109,user_1775,Tablet,India,Google,125
session_111,user_2430,Desktop,Germany,Email,126
session_1110,user_1534,Mobile,USA,Social Media,127
session_1111,user_2964,Desktop,Germany,Email,128
session_1112,user_1323,Desktop,France,Direct,129
session_1113,user_1495,Tablet,India,Google,130
session_1114,user_1515,Desktop,UK,Google,131
session_1115,user_1926,Tablet,Australia,Google,132
session_1116,user_2121,Desktop,Canada,Email,133
session_1117,user_1834,Tablet,USA,Google,134
session_1118,user_1295,Mobile,France,Direct,135
session_1119,user_2694,Desktop,USA,Email,136
session_112,user_2488,Tablet,Canada,Social Media,137
session_1120,user_2661,Mobile,UK,Email,138
session_1121,user_2862,Mobile,Germany,Social Media,139
session_1122,user_1188,Mobile,Germany,Direct,140
session_1123,user_2354,Mobile,France,Google,141
session_1124,user_2092,Desktop,USA,Social Media,142
session_1125,user_1200,Desktop,India,Direct,143
session_1126,user_1317,Mobile,Canada,Direct,144
session_1127,user_1734,Desktop,France,Google,145
session_1128,user_2038,Mobile,Canada,Direct,146
session_1129,user_1332,Mobile,France,Google,147
session_113,user_1030,Tablet,UK,Email,148
session_1130,user_1785,Mobile,India,Email,149
session_1131,user_2995,Mobile,Canada,Google,150
session_1132,user_1295,Desktop,India,Email,151
session_1133,user_1525,Desktop,Canada,Direct,152
session_1134,user_2880,Mobile,France,Google,153
session_1135,user_1764,Tablet,Canada,Social Media,154
session_1136,user_1701,Mobile,Australia,Direct,155
session_1137,user_2415,Mobile,France,Email,156
session_1138,user_1009,Tablet,Canada,Google,157
session_1139,user_2774,Mobile,Germany,Google,158
session_114,user_2803,Mobile,Germany,Email,159
session_1140,user_1657,Mobile,UK,Direct,160
session_1141,user_2636,Tablet,USA,Email,161
session_1142,user_1317,Tablet,Canada,Email,162
session_1143,user_2588,Desktop,Germany,Email,163
session_1144,user_2040,Desktop,Australia,Email,164
session_1145,user_1716,Desktop,France,Email,165
session_1146,user_1033,Mobile,USA,Social Media,166
session_1147,user_2850,Desktop,Australia,Social Media,167
session_1148,user_1098,Desktop,Australia,Email,168
session_1149,user_1423,Tablet,Germany,Social Media,169
session_115,user_2619,Tablet,UK,Direct,170
session_1150,user_1625,Tablet,India,Email,171
session_1151,user_1025,Mobile,France,Direct,172
session_1152,user_2800,Tablet,UK,Social Media,173
session_1153,user_1416,Mobile,UK,Social Media,174
session_1154,user_1131,Desktop,Germany,Email,175
session_1155,user_1102,Desktop,UK,Social Media,176
session_1156,user_1589,Mobile,France,Social Media,177
session_1157,user_2147,Mobile,France,Direct,178
session_1158,user_2251,Mobile,India,Google,179
session_1159,user_2007,Mobile,Canada,Email,180
session_116,user_1385,Tablet,Germany,Email,181
session_1160,user_2843,Desktop,India,Direct,182
session_1161,user_2917,Mobile,France,Google,183
session_1162,user_2698,Mobile,India,Social Media,184
session_1163,user_2427,Tablet,Germany,Email,185
session_1164,user_1863,Mobile,India,Direct,186
session_1165,user_1342,Desktop,USA,Direct,187
session_1166,user_1607,Tablet,India,Google,188
session_1167,user_1671,Desktop,UK,Direct,189
session_1168,user_1606,Tablet,UK,Direct,190
session_1169,user_1203,Tablet,France,Email,191
session_117,user_1679,Tablet,UK,Social Media,192
session_1170,user_2340,Tablet,Germany,Social Media,193
session_1171,user_2899,Tablet,Australia,Direct,194
session_1172,user_2887,Desktop,Australia,Email,195
session_1173,user_2145,Desktop,UK,Social Media,196
session_1174,user_2623,Mobile,India,Social Media,197
session_1175,user_2022,Tablet,India,Google,198
session_1176,user_2059,Desktop,UK,Social Media,199
session_1177,user_1680,Desktop,Canada,Google,200
session_1178,user_1015,Desktop,Canada,Google,201
session_1179,user_1090,Mobile,UK,Google,202
session_118,user_2114,Mobile,USA,Direct,203
session_1180,user_1678,Mobile,Australia,Google,204
session_1181,user_1622,Tablet,Canada,Email,205
session_1182,user_2891,Desktop,India,Social Media,206
session_1183,user_1977,Mobile,UK,Social Media,207
session_1184,user_1977,Desktop,Canada,Social Media,208
session_1185,user_2265,Mobile,Germany,Social Media,209
session_1186,user_2708,Mobile,Australia,Direct,210
session_1187,user_2851,Desktop,Germany,Email,211
session_1188,user_1202,Desktop,Germany,Direct,212
session_1189,user_2442,Mobile,Canada,Google,213
session_119,user_2996,Tablet,UK,Social Media,214
session_1190,user_1650,Mobile,Germany,Direct,215
session_1191,user_1740,Tablet,Australia,Email,216
session_1192,user_1538,Desktop,India,Google,217
session_1193,user_1199,Desktop,India,Direct,218
session_1194,user_1978,Tablet,Germany,Direct,219
session_1195,user_2009,Desktop,USA,Google,220
session_1196,user_1008,Tablet,USA,Google,221
session_1197,user_1194,Tablet,Australia,Google,222
session_1198,user_2481,Tablet,India,Google,223
session_1199,user_2843,Mobile,UK,Direct,224
session_12,user_2907,Mobile,France,Email,225
session_120,user_1976,Mobile,Germany,Social Media,226
session_1200,user_2364,Tablet,USA,Google,227
session_1201,user_2032,Desktop,UK,Google,228
session_1202,user_2792,Desktop,UK,Email,229
session_1203,user_1783,Desktop,Germany,Direct,230
session_1204,user_1846,Tablet,France,Email,231
session_1205,user_2045,Tablet,Australia,Direct,232
session_1206,user_1041,Desktop,France,Social Media,233
session_1207,user_1689,Mobile,UK,Direct,234
session_1208,user_2160,Tablet,India,Email,235
session_1209,user_2004,Tablet,India,Direct,236
session_121,user_2762,Tablet,Germany,Email,237
session_1210,user_2416,Desktop,UK,Google,238
session_1211,user_2496,Mobile,UK,Google,239
session_1212,user_2204,Mobile,Canada,Social Media,240
session_1213,user_1641,Tablet,USA,Email,241
session_1214,user_2091,Desktop,USA,Email,242
session_1215,user_2141,Desktop,UK,Direct,243
session_1216,user_2068,Mobile,USA,Direct,244
session_1217,user_1257,Tablet,USA,Google,245
session_1218,user_3001,Mobile,Australia,Google,246
session_1219,user_2885,Mobile,Germany,Google,247
session_122,user_2875,Desktop,UK,Google,248
session_1220,user_1041,Tablet,Canada,Email,249
session_1221,user_1808,Mobile,France,Google,250
session_1222,user_2588,Desktop,Germany,Direct,251
session_1223,user_1858,Tablet,Canada,Email,252
session_1224,user_1732,Tablet,Canada,Email,253
session_1225,user_1083,Tablet,UK,Direct,254
session_1226,user_1196,Desktop,India,Google,255
session_1227,user_1066,Mobile,USA,Google,256
session_1228,user_1118,Tablet,Australia,Google,257
session_1229,user_1954,Mobile,UK,Email,258
session_123,user_2142,Mobile,Canada,Social Media,259
session_1230,user_1485,Mobile,UK,Direct,260
session_1231,user_2987,Tablet,France,Google,261
session_1232,user_1237,Desktop,India,Email,262
session_1233,user_1378,Tablet,UK,Direct,263
session_1234,user_1215,Tablet,USA,Direct,264
session_1235,user_2357,Mobile,Canada,Google,265
session_1236,user_2250,Mobile,Germany,Social Media,266
session_1237,user_1890,Mobile,Germany,Email,267
session_1238,user_2345,Mobile,USA,Google,268
session_1239,user_1080,Desktop,Germany,Email,269
session_124,user_1156,Desktop,Germany,Social Media,270
session_1240,user_1858,Tablet,Australia,Google,271
session_1241,user_1616,Tablet,Germany,Social Media,272
session_1242,user_1771,Tablet,Australia,Email,273
session_1243,user_2159,Mobile,UK,Social Media,274
session_1244,user_2635,Desktop,Australia,Direct,275
session_1245,user_1243,Mobile,Canada,Email,276
session_1246,user_2305,Desktop,India,Direct,277
session_1247,user_1474,Tablet,France,Google,278
session_1248,user_1949,Tablet,France,Google,279
session_1249,user_2949,Desktop,UK,Google,280
session_125,user_1471,Tablet,India,Email,281
session_1250,user_1616,Tablet,UK,Email,282
session_1251,user_1840,Tablet,Germany,Email,283
session_1252,user_1923,Tablet,Germany,Direct,284
session_1253,user_1598,Mobile,USA,Direct,285
session_1254,user_2451,Mobile,Germany,Email,286
session_1255,user_2471,Tablet,Canada,Direct,287
session_1256,user_1583,Mobile,UK,Google,288
session_1257,user_1138,Desktop,Australia,Email,289
session_1258,user_1763,Mobile,USA,Social Media,290
session_1259,user_1038,Tablet,France,Social Media,291
session_126,user_2713,Mobile,USA,Direct,292
session_1260,user_1036,Mobile,Australia,Google,293
session_1261,user_2051,Mobile,France,Social Media,294
session_1262,user_2839,Desktop,India,Google,295
session_1263,user_2498,Mobile,UK,Direct,296
session_1264,user_1524,Tablet,Australia,Email,297
session_1265,user_2917,Mobile,Australia,Email,298
session_1266,user_1161,Mobile,USA,Social Media,299
session_1267,user_2189,Mobile,Australia,Google,300
session_1268,user_1183,Desktop,UK,Social Media,301
session_1269,user_1676,Mobile,France,Email,302
session_127,user_2168,Tablet,India,Email,303
session_1270,user_1479,Tablet,India,Direct,304
session_1271,user_1052,Tablet,Canada,Direct,305
session_1272,user_1324,Mobile,France,Email,306
session_1273,user_1709,Tablet,UK,Direct,307
session_1274,user_2361,Tablet,India,Email,308
session_1275,user_1174,Tablet,Canada,Google,309
session_1276,user_1650,Mobile,Canada,Google,310
session_1277,user_1347,Tablet,Canada,Google,311
session_1278,user_1422,Mobile,Australia,Email,312
session_1279,user_2165,Mobile,Australia,Social Media,313
session_128,user_2126,Desktop,UK,Direct,314
session_1280,user_1998,Tablet,Australia,Direct,315
session_1281,user_1950,Desktop,Canada,Social Media,316
session_1282,user_2231,Tablet,Canada,Direct,317
session_1283,user_2746,Tablet,Germany,Email,318
session_1284,user_2656,Desktop,Germany,Google,319
session_1285,user_2395,Mobile,Germany,Direct,320
session_1286,user_1394,Desktop,India,Direct,321
session_1287,user_2912,Desktop,Germany,Social Media,322
session_1288,user_1746,Desktop,India,Direct,323
session_1289,user_2544,Mobile,USA,Direct,324
session_129,user_2755,Desktop,UK,Direct,325
session_1290,user_2557,Mobile,Australia,Google,326
session_1291,user_1406,Tablet,France,Google,327
session_1292,user_1180,Tablet,France,Google,328
session_1293,user_1281,Tablet,India,Email,329
session_1294,user_2941,Mobile,Canada,Social Media,330
session_1295,user_1642,Tablet,UK,Email,331
session_1296,user_2158,Mobile,Germany,Email,332
session_1297,user_1615,Desktop,France,Email,333
session_1298,user_1567,Mobile,Germany,Google,334
session_1299,user_1729,Tablet,India,Social Media,335
session_13,user_1058,Tablet,USA,Direct,336
session_130,user_1595,Desktop,Germany,Social Media,337
session_1300,user_1202,Tablet,India,Email,338
session_1301,user_1204,Mobile,Canada,Google,339
session_1302,user_1512,Tablet,Germany,Google,340
session_1303,user_2564,Desktop,USA,Direct,341
session_1304,user_1804,Desktop,USA,Direct,342
session_1305,user_1526,Mobile,Canada,Email,343
session_1306,user_2641,Mobile,UK,Direct,344
session_1307,user_1283,Tablet,Germany,Social Media,345
session_1308,user_1744,Tablet,Canada,Email,346
session_1309,user_2214,Tablet,Canada,Google,347
session_131,user_2498,Tablet,France,Social Media,348
session_1310,user_2683,Tablet,USA,Google,349
session_1311,user_2426,Tablet,France,Direct,350
session_1312,user_1570,Mobile,UK,Social Media,351
session_1313,user_2370,Tablet,Canada,Direct,352
session_1314,user_2893,Desktop,India,Direct,353
session_1315,user_1592,Tablet,Germany,Direct,354
session_1316,user_1299,Mobile,Germany,Email,355
session_1317,user_2292,Tablet,UK,Direct,356
session_1318,user_2785,Desktop,UK,Social Media,357
session_1319,user_2790,Desktop,Canada,Direct,358
session_132,user_1515,Mobile,Canada,Direct,359
session_1320,user_2398,Tablet,France,Social Media,360
session_1321,user_1106,Mobile,Australia,Social Media,361
session_1322,user_2560,Mobile,UK,Social Media,362
session_1323,user_1073,Mobile,USA,Direct,363
session_1324,user_2855,Desktop,Germany,Email,364
session_1325,user_2470,Tablet,USA,Email,365
session_1326,user_2922,Mobile,Germany,Email,366
session_1327,user_2925,Tablet,India,Social Media,367
session_1328,user_1348,Tablet,UK,Google,368
session_1329,user_2869,Desktop,India,Direct,369
session_133,user_2286,Tablet,UK,Email,370
session_1330,user_2985,Mobile,Canada,Social Media,371
session_1331,user_1576,Tablet,France,Social Media,372
session_1332,user_2502,Desktop,Germany,Email,373
session_1333,user_1276,Desktop,USA,Email,374
session_1334,user_2956,Mobile,Australia,Social Media,375
session_1335,user_2770,Desktop,USA,Email,376
session_1336,user_1807,Desktop,India,Email,377
session_1337,user_2843,Mobile,Canada,Google,378
session_1338,user_1967,Desktop,UK,Social Media,379
session_1339,user_2985,Mobile,France,Google,380
session_134,user_1372,Tablet,France,Email,381
session_1340,user_2948,Tablet,USA,Social Media,382
session_1341,user_2903,Mobile,USA,Google,383
session_1342,user_1512,Desktop,Australia,Direct,384
session_1343,user_1213,Mobile,France,Direct,385
session_1344,user_2045,Tablet,Australia,Email,386
session_1345,user_1620,Tablet,France,Social Media,387
session_1346,user_2029,Tablet,Canada,Social Media,388
session_1347,user_2203,Mobile,USA,Direct,389
session_1348,user_1971,Tablet,India,Direct,390
session_1349,user_1957,Tablet,USA,Google,391
session_135,user_1510,Mobile,India,Google,392
session_1350,user_2826,Tablet,USA,Social Media,393
session_1351,user_1774,Mobile,Canada,Email,394
session_1352,user_1381,Tablet,Canada,Google,395
session_1353,user_1961,Desktop,UK,Email,396
session_1354,user_2182,Desktop,India,Google,397
session_1355,user_2373,Mobile,Canada,Social Media,398
session_1356,user_1161,Desktop,France,Email,399
session_1357,user_1634,Tablet,Canada,Google,400
session_1358,user_1155,Mobile,France,Direct,401
session_1359,user_1384,Tablet,India,Direct,402
session_136,user_1390,Mobile,Canada,Social Media,403
session_1360,user_2122,Mobile,India,Email,404
session_1361,user_2545,Desktop,India,Email,405
session_1362,user_1878,Tablet,USA,Direct,406
session_1363,user_1198,Mobile,UK,Direct,407
session_1364,user_1602,Mobile,UK,Email,408
session_1365,user_1873,Desktop,Canada,Social Media,409
session_1366,user_1493,Tablet,France,Direct,410
session_1367,user_1683,Mobile,USA,Direct,411
session_1368,user_2613,Tablet,USA,Email,412
session_1369,user_1397,Tablet,Australia,Email,413
session_137,user_1263,Tablet,India,Social Media,414
session_1370,user_1095,Tablet,UK,Direct,415
session_1371,user_2297,Tablet,USA,Email,416
session_1372,user_2643,Mobile,Canada,Social Media,417
session_1373,user_2250,Tablet,Germany,Social Media,418
session_1374,user_2106,Mobile,Australia,Google,419
session_1375,user_2732,Desktop,Canada,Social Media,420
session_1376,user_2969,Tablet,UK,Social Media,421
session_1377,user_1779,Tablet,USA,Social Media,422
session_1378,user_1638,Desktop,Australia,Google,423
session_1379,user_2698,Mobile,Australia,Email,424
session_138,user_2168,Tablet,USA,Google,425
session_1380,user_1964,Tablet,Germany,Google,426
session_1381,user_1043,Desktop,Canada,Social Media,427
session_1382,user_2103,Tablet,India,Google,428
session_1383,user_2882,Desktop,UK,Google,429
session_1384,user_2989,Desktop,USA,Social Media,430
session_1385,user_1111,Tablet,UK,Google,431
session_1386,user_1767,Mobile,Canada,Social Media,432
session_1387,user_1067,Desktop,Canada,Google,433
session_1388,user_2574,Mobile,India,Direct,434
session_1389,user_1236,Tablet,India,Social Media,435
session_139,user_2866,Mobile,Canada,Email,436
session_1390,user_1108,Desktop,USA,Social Media,437
session_1391,user_1297,Mobile,India,Direct,438
session_1392,user_2786,Desktop,India,Direct,439
session_1393,user_2963,Desktop,UK,Google,440
session_1394,user_2866,Desktop,USA,Social Media,441
session_1395,user_2413,Mobile,UK,Google,442
session_1396,user_1178,Desktop,UK,Social Media,443
session_1397,user_1352,Mobile,Germany,Social Media,444
session_1398,user_1235,Mobile,India,Google,445
session_1399,user_1381,Desktop,France,Google,446
session_14,user_1884,Mobile,Australia,Email,447
session_140,user_2010,Desktop,Canada,Google,448
session_1400,user_1801,Mobile,Germany,Google,449
session_1401,user_2946,Desktop,Germany,Direct,450
session_1402,user_1318,Tablet,Australia,Email,451
session_1403,user_2039,Mobile,Canada,Google,452
session_1404,user_1656,Tablet,France,Social Media,453
session_1405,user_2225,Desktop,France,Direct,454
session_1406,user_2272,Tablet,Canada,Social Media,455
session_1407,user_1686,Tablet,France,Email,456
session_1408,user_2409,Tablet,Germany,Social Media,457
session_1409,user_2900,Desktop,UK,Email,458
session_141,user_1643,Mobile,Australia,Email,459
session_1410,user_1358,Tablet,Canada,Social Media,460
session_1411,user_2149,Mobile,USA,Google,461
session_1412,user_2254,Desktop,Germany,Google,462
session_1413,user_1354,Mobile,Canada,Email,463
session_1414,user_2957,Tablet,Canada,Google,464
session_1415,user_1544,Tablet,USA,Email,465
session_1416,user_1894,Desktop,France,Email,466
session_1417,user_1881,Mobile,India,Direct,467
session_1418,user_2423,Desktop,USA,Direct,468
session_1419,user_1129,Tablet,Germany,Email,469
session_142,user_1473,Desktop,UK,Google,470
session_1420,user_2841,Desktop,UK,Google,471
session_1421,user_2609,Mobile,India,Direct,472
session_1422,user_2204,Tablet,Australia,Direct,473
session_1423,user_1905,Mobile,France,Google,474
session_1424,user_2631,Desktop,USA,Google,475
session_1425,user_1569,Desktop,USA,Google,476
session_1426,user_1207,Desktop,UK,Email,477
session_1427,user_1849,Tablet,France,Social Media,478
session_1428,user_2867,Desktop,UK,Social Media,479
session_1429,user_1255,Desktop,India,Direct,480
session_143,user_1073,Mobile,France,Direct,481
session_1430,user_2057,Desktop,India,Social Media,482
session_1431,user_1200,Tablet,Germany,Direct,483
session_1432,user_1570,Desktop,USA,Direct,484
session_1433,user_2187,Tablet,UK,Direct,485
session_1434,user_2757,Mobile,UK,Email,486
session_1435,user_1767,Tablet,France,Direct,487
session_1436,user_2255,Tablet,India,Google,488
session_1437,user_2683,Desktop,USA,Direct,489
session_1438,user_1867,Desktop,USA,Google,490
session_1439,user_2647,Mobile,USA,Email,491
session_144,user_1460,Tablet,USA,Direct,492
session_1440,user_2626,Mobile,Canada,Direct,493
session_1441,user_1057,Desktop,USA,Google,494
session_1442,user_1224,Tablet,USA,Direct,495
session_1443,user_1839,Desktop,Germany,Google,496
session_1444,user_1951,Tablet,UK,Social Media,497
session_1445,user_1012,Desktop,UK,Social Media,498
session_1446,user_1267,Mobile,Germany,Email,499
session_1447,user_2582,Mobile,Germany,Direct,500
session_1448,user_2437,Desktop,UK,Social Media,501
session_1449,user_1139,Tablet,India,Direct,502
session_145,user_2149,Desktop,USA,Direct,503
session_1450,user_2404,Tablet,Canada,Google,504
session_1451,user_2175,Mobile,UK,Email,505
session_1452,user_2393,Tablet,France,Email,506
session_1453,user_2996,Mobile,France,Email,507
session_1454,user_1191,Mobile,Canada,Google,508
session_1455,user_2250,Desktop,France,Email,509
session_1456,user_1696,Tablet,UK,Google,510
session_1457,user_1351,Tablet,Australia,Email,511
session_1458,user_2820,Desktop,France,Email,512
session_1459,user_1826,Tablet,Germany,Google,513
session_146,user_2698,Tablet,USA,Google,514
session_1460,user_2312,Mobile,India,Social Media,515
session_1461,user_2924,Tablet,Canada,Email,516
session_1462,user_2992,Tablet,USA,Email,517
session_1463,user_2281,Desktop,USA,Google,518
session_1464,user_2663,Mobile,France,Social Media,519
session_1465,user_2036,Desktop,UK,Google,520
session_1466,user_2210,Tablet,Germany,Email,521
session_1467,user_1838,Tablet,UK,Google,522
session_1468,user_1657,Tablet,Germany,Email,523
session_1469,user_1038,Desktop,India,Email,524
session_147,user_1546,Mobile,Australia,Google,525
session_1470,user_1334,Mobile,USA,Direct,526
session_1471,user_1074,Tablet,India,Social Media,527
session_1472,user_2765,Mobile,USA,Social Media,528
session_1473,user_2705,Tablet,UK,Google,529
session_1474,user_1271,Mobile,UK,Direct,530
session_1475,user_2675,Tablet,Germany,Google,531
session_1476,user_1685,Tablet,UK,Direct,532
session_1477,user_1012,Desktop,UK,Email,533
session_1478,user_1919,Tablet,USA,Direct,534
session_1479,user_1406,Tablet,Canada,Direct,535
session_148,user_1093,Tablet,France,Email,536
session_1480,user_2756,Desktop,Germany,Google,537
session_1481,user_1790,Desktop,India,Email,538
session_1482,user_1273,Mobile,Germany,Email,539
session_1483,user_1611,Tablet,France,Social Media,540
session_1484,user_2590,Mobile,Germany,Social Media,541
session_1485,user_1041,Tablet,Canada,Google,542
session_1486,user_1601,Desktop,Germany,Direct,543
session_1487,user_2309,Desktop,Australia,Direct,544
session_1488,user_2726,Mobile,Canada,Social Media,545
session_1489,user_2634,Desktop,USA,Direct,546
session_149,user_1181,Mobile,Germany,Direct,547
session_1490,user_2129,Tablet,Australia,Google,548
session_1491,user_2619,Desktop,France,Social Media,549
session_1492,user_2230,Tablet,USA,Direct,550
session_1493,user_1736,Mobile,USA,Email,551
session_1494,user_1678,Mobile,France,Google,552
session_1495,user_2275,Desktop,Germany,Social Media,553
session_1496,user_1107,Tablet,Australia,Social Media,554
session_1497,user_2784,Mobile,UK,Direct,555
session_1498,user_2473,Mobile,Canada,Direct,556
session_1499,user_2221,Mobile,Canada,Social Media,557
session_15,user_2270,Mobile,Australia,Email,558
session_150,user_1873,Tablet,India,Email,559
session_1500,user_2784,Tablet,Australia,Direct,560
session_1501,user_1744,Tablet,Canada,Google,561
session_1502,user_1491,Mobile,India,Google,562
session_1503,user_2142,Desktop,UK,Direct,563
session_1504,user_1158,Tablet,USA,Social Media,564
session_1505,user_1844,Desktop,Germany,Google,565
session_1506,user_1721,Mobile,UK,Email,566
session_1507,user_2232,Mobile,India,Email,567
session_1508,user_2233,Desktop,Australia,Email,568
session_1509,user_2554,Tablet,UK,Direct,569
session_151,user_1511,Mobile,India,Email,570
session_1510,user_1458,Desktop,USA,Direct,571
session_1511,user_1237,Mobile,Germany,Google,572
session_1512,user_1810,Tablet,India,Google,573
session_1513,user_2850,Mobile,France,Social Media,574
session_1514,user_2130,Tablet,Germany,Email,575
session_1515,user_1110,Mobile,India,Social Media,576
session_1516,user_2767,Tablet,Australia,Google,577
session_1517,user_1393,Mobile,Canada,Email,578
session_1518,user_2000,Mobile,India,Direct,579
session_1519,user_1246,Mobile,France,Social Media,580
session_152,user_2321,Tablet,Germany,Email,581
session_1520,user_1235,Mobile,Germany,Direct,582
session_1521,user_1330,Mobile,Canada,Direct,583
session_1522,user_2787,Mobile,USA,Google,584
session_1523,user_2429,Tablet,USA,Social Media,585
session_1524,user_1991,Mobile,Canada,Google,586
session_1525,user_1473,Mobile,Canada,Google,587
